1.0,Name,As self,As role
0.639098,"Magnusson, Peter (III)",85,48
0.639069,"LL Cool J",494,279
0.639024,"McAvoy, James",131,74
0.637931,"Hodgman, John",111,63
0.637681,"Penacoli, Jerry",88,50
0.636905,"Schmitz, Ralf (I)",107,61
0.636591,"Voight, Jon",254,145
0.635359,"Uzkudun, Ibon",115,66
0.635036,"Petszokat, Oliver",87,50
0.634783,"Geannaris, Anthony",146,84
0.634752,"Culshaw, Jon",179,103
0.634615,"Reid, Adam (IV)",66,38
0.634328,"Storm, James (I)",85,49
0.631579,"Tobםas, Miguel ֱngel",120,70
0.631098,"Cimas, Raתl",207,121
0.630872,"Domingo, Plבcido",188,110
0.630769,"Ramones, Adal",82,48
0.630037,"Pollak, Kevin (I)",344,202
0.62963,"Ball, Bobby",119,70
0.62931,"Borrajo, Moncho",73,43
0.628571,"Fiennes, Ralph",132,78
0.627413,"Corbett, Ronnie",325,193
0.627219,"Berman, Shelley",212,126
0.627119,"Walker, Paul (I)",111,66
0.626327,"McKellen, Ian",295,176
0.625866,"Schreiber, Liev",271,162
0.625243,"Barrowman, John",322,193
0.625,"Sugui, Patrick",55,33
0.625,"Stromer, Eric A.",65,39
0.625,"Heerschop, Peter",65,39
0.623955,"Franken, Al",224,135
0.623853,"Smaןn",68,41
0.623596,"Kraus, Peter (I)",111,67
0.623377,"Rose, Darrin (I)",96,58
0.623333,"Rimmer, Lasse",187,113
0.623256,"Molloy, Mick (I)",134,81
0.622581,"Hudd, Roy",193,117
0.621538,"Mooney, Lawrence",202,123
0.621483,"Yuste, Josema",243,148
0.619835,"Lee, Brian (XXXIX)",75,46
0.619835,"Bach, Dirk",225,138
0.619565,"Linley, Cody",57,35
0.619048,"Myers, Mike (I)",273,168
0.619048,"Attenborough, Richard",130,80
0.618644,"Armstrong, Dean (I)",73,45
0.618297,"Mortimer, Bob",196,121
0.618128,"Arnold, Tom (I)",416,257
0.617108,"DeLuise, Dom",303,188
0.617021,"Aracena, Luis Alberto",58,36
0.616896,"Walliams, David",314,195
0.616667,"Ant",74,46
0.616162,"Epps, Mike (I)",122,76
0.616022,"Sinbad",223,139
0.614907,"Eisenberg, Jesse",99,62
0.614829,"Wingert, Wally",937,587
0.614679,"Burns, Bob (III)",67,42
0.614618,"LaBeouf, Shia",185,116
0.61461,"Kalkofe, Oliver",244,153
0.61413,"Ledger, Heath",113,71
0.613861,"Christensen, Casper (I)",310,195
0.613687,"Brydon, Rob",278,175
0.612346,"Murray, Bill (I)",248,157
0.611399,"Hvenegaard, Pelle",118,75
0.610837,"Wood, Dominic (II)",124,79
0.61082,"Millבn, Santi",350,223
0.610294,"Muסoz, Juan (I)",166,106
0.610169,"Lee, Stan (I)",252,161
0.609589,"Jugnot, Gיrard",178,114
0.609195,"Evans, Lee (I)",53,34
0.608696,"Poelvoorde, Benoמt",84,54
0.608696,"Lane, Colin (II)",70,45
0.608108,"Bonaduce, Danny",270,174
0.607407,"Yajima, Masaaki",82,53
0.607143,"Crudup, Billy",68,44
0.606742,"Delon, Alain",162,105
0.606667,"Baer, Edouard",91,59
0.606557,"Quaid, Dennis",185,120
0.606383,"Fraser, Brendan",114,74
0.605791,"Aragףn, Emilio (I)",272,177
0.605634,"Christensen, Hayden",86,56
0.605442,"Kבlloy Molnבr, Pיter",89,58
0.605263,"Kaskilahti, Risto",184,120
0.605042,"Green, Adam (VI)",72,47
0.605,"Bendich, Alan",121,79
0.604839,"Martin, Demetri",75,49
0.604651,"Rovira, Dani",52,34
0.604651,"Okine, Matthew",52,34
0.603774,"Gas, Mario",96,63
0.603448,"Maroulis, Constantine",70,46
0.603286,"Curtis, Tony (I)",257,169
0.603133,"Murphy, Eddie (I)",231,152
0.603093,"Clay, Andrew Dice",117,77
0.60251,"Carlin, George",288,190
0.602317,"Daniels, Jeff (I)",156,103
0.602273,"Takeyama, Takanori",53,35
0.602174,"Palin, Michael",277,183
0.602041,"Allen, Matthew Dieu",177,117
0.600423,"Fry, Stephen (I)",568,378
0.6,"van der Meer, Ruben",99,66
0.6,"Davro, Bobby",147,98
0.598739,"Hamilton, George (I)",285,191
0.597015,"Lamb, Dave (I)",240,162
0.596708,"Grey, Joel",145,98
0.596491,"Casero, Nazareno",68,46
0.596413,"Rodriguez, Paul (I)",133,90
0.595506,"Moore, Gary Ray",53,36
0.595238,"Bartlett, Rob (I)",75,51
0.595041,"Flores, Yves",144,98
0.594675,"Quinn, Colin",201,137
0.594533,"Goldblum, Jeff",261,178
0.594527,"Rhys Jones, Griff",239,163
0.594101,"Eastwood, Clint",423,289
0.594037,"Wood, Elijah (I)",259,177
0.593886,"Vitבsek, Andreas",136,93
0.593548,"Bennett, Alan (I)",92,63
0.593407,"Crocker, Barry",54,37
0.593156,"Dafoe, Willem",156,107
0.592814,"McCourt, Richard",99,68
0.592784,"Bey, Yasiin",115,79
0.592308,"Gףmez, Carmelo",77,53
0.592233,"Spang, Jonatan",61,42
0.592233,"Safi, Bryan",61,42
0.592233,"Byrne, Steve (III)",61,42
